These stats, other than Total, are cummulative over previous MBs within each Frame
 ---------|--------|---------|----------|------------|------------|---------|---------|---------|---------|---------|------------|----------|
   Frame  |   MB   |  Total  |   Type   |  P Motion  |  B Motion  |   cbp   |    C    |    y    |    Cb   |    Cr   | Delta quan | Stuffing |
 ---------|--------|---------|----------|------------|------------|---------|---------|---------|---------|---------|------------|----------|
       0  |      0 |      30 |       24 |        0   |        0   |       5 |       0 |       0 |       0 |       0 |       1    |     0    |
       0  |      1 |      21 |       39 |        0   |        0   |      10 |       0 |       0 |       0 |       0 |       2    |     0    |
       0  |      2 |      13 |       48 |        0   |        0   |      13 |       0 |       0 |       0 |       0 |       3    |     0    |
       0  |      3 |      55 |       99 |        0   |        0   |      16 |       0 |       0 |       0 |       0 |       4    |     0    |
       0  |      4 |      49 |      144 |        0   |        0   |      19 |       0 |       0 |       0 |       0 |       5    |     0    |
       0  |      5 |      16 |      156 |        0   |        0   |      22 |       0 |       0 |       0 |       0 |       6    |     0    |
       0  |      6 |      28 |      174 |        0   |        0   |      31 |       0 |       0 |       0 |       0 |       7    |     0    |
       0  |      7 |      10 |      183 |        0   |        0   |      31 |       0 |       0 |       0 |       0 |       8    |     0    |
       0  |      8 |      10 |      192 |        0   |        0   |      31 |       0 |       0 |       0 |       0 |       9    |     0    |
       0  |      9 |      16 |      204 |        0   |        0   |      34 |       0 |       0 |       0 |       0 |      10    |     0    |
       0  |     10 |      46 |      246 |        0   |        0   |      37 |       0 |       0 |       0 |       0 |      11    |     0    |
       0  |     11 |      42 |      282 |        0   |        0   |      42 |       0 |       0 |       0 |       0 |      12    |     0    |
       0  |     12 |      16 |      294 |        0   |        0   |      45 |       0 |       0 |       0 |       0 |      13    |     0    |
       0  |     13 |      13 |      303 |        0   |        0   |      48 |       0 |       0 |       0 |       0 |      14    |     0    |
       0  |     14 |      31 |      330 |        0   |        0   |      51 |       0 |       0 |       0 |       0 |      15    |     0    |
       0  |     15 |      16 |      342 |        0   |        0   |      54 |       0 |       0 |       0 |       0 |      16    |     0    |
       0  |     16 |      16 |      354 |        0   |        0   |      57 |       0 |       0 |       0 |       0 |      17    |     0    |
       0  |     17 |      52 |      402 |        0   |        0   |      60 |       0 |       0 |       0 |       0 |      18    |     0    |
       0  |     18 |      43 |      441 |        0   |        0   |      63 |       0 |       0 |       0 |       0 |      19    |     0    |
       0  |     19 |      10 |      447 |        0   |        0   |      66 |       0 |       0 |       0 |       0 |      20    |     0    |
       0  |     20 |      40 |      477 |        0   |        0   |      75 |       0 |       0 |       0 |       0 |      21    |     0    |
       0  |     21 |      16 |      489 |        0   |        0   |      78 |       0 |       0 |       0 |       0 |      22    |     0    |
       0  |     22 |      19 |      504 |        0   |        0   |      81 |       0 |       0 |       0 |       0 |      23    |     0    |
       0  |     23 |      20 |      516 |        0   |        0   |      88 |       0 |       0 |       0 |       0 |      24    |     0    |
       0  |     24 |      46 |      558 |        0   |        0   |      91 |       0 |       0 |       0 |       0 |      25    |     0    |
       0  |     25 |      56 |      606 |        0   |        0   |      98 |       0 |       0 |       0 |       0 |      26    |     0    |
       0  |     26 |      52 |      654 |        0   |        0   |     101 |       0 |       0 |       0 |       0 |      27    |     0    |
       0  |     27 |      18 |      666 |        0   |        0   |     106 |       0 |       0 |       0 |       0 |      28    |     0    |
       0  |     28 |      24 |      678 |        0   |        0   |     117 |       0 |       0 |       0 |       0 |      29    |     0    |
       0  |     29 |      23 |      693 |        0   |        0   |     124 |       0 |       0 |       0 |       0 |      30    |     0    |
       0  |     30 |      54 |      741 |        0   |        0   |     129 |       0 |       0 |       0 |       0 |      31    |     0    |
       0  |     31 |      20 |      753 |        0   |        0   |     136 |       0 |       0 |       0 |       0 |      32    |     0    |
       0  |     32 |      53 |      804 |        0   |        0   |     137 |       0 |       0 |       0 |       0 |      33    |     0    |
       0  |     33 |      55 |      855 |        0   |        0   |     140 |       0 |       0 |       0 |       0 |      34    |     0    |
       0  |     34 |      52 |      897 |        0   |        0   |     149 |       0 |       0 |       0 |       0 |      35    |     0    |
       0  |     35 |      56 |      945 |        0   |        0   |     156 |       0 |       0 |       0 |       0 |      36    |     0    |
       0  |     36 |      50 |      993 |        0   |        0   |     157 |       0 |       0 |       0 |       0 |      37    |     0    |
       0  |     37 |      55 |     1044 |        0   |        0   |     160 |       0 |       0 |       0 |       0 |      38    |     0    |
       0  |     38 |      13 |     1053 |        0   |        0   |     163 |       0 |       0 |       0 |       0 |      39    |     0    |
       0  |     39 |      22 |     1065 |        0   |        0   |     172 |       0 |       0 |       0 |       0 |      40    |     0    |
       0  |     40 |      22 |     1077 |        0   |        0   |     181 |       0 |       0 |       0 |       0 |      41    |     0    |
       0  |     41 |      16 |     1083 |        0   |        0   |     190 |       0 |       0 |       0 |       0 |      42    |     0    |
       0  |     42 |      50 |     1131 |        0   |        0   |     191 |       0 |       0 |       0 |       0 |      43    |     0    |
       0  |     43 |      41 |     1164 |        0   |        0   |     198 |       0 |       0 |       0 |       0 |      44    |     0    |
       0  |     44 |      19 |     1179 |        0   |        0   |     201 |       0 |       0 |       0 |       0 |      45    |     0    |
       0  |     45 |      16 |     1191 |        0   |        0   |     204 |       0 |       0 |       0 |       0 |      46    |     0    |
       0  |     46 |      13 |     1200 |        0   |        0   |     207 |       0 |       0 |       0 |       0 |      47    |     0    |
       0  |     47 |      49 |     1239 |        0   |        0   |     216 |       0 |       0 |       0 |       0 |      48    |     0    |
       0  |     48 |      10 |     1248 |        0   |        0   |     216 |       0 |       0 |       0 |       0 |      49    |     0    |
       0  |     49 |      14 |     1260 |        0   |        0   |     217 |       0 |       0 |       0 |       0 |      50    |     0    |
       0  |     50 |      13 |     1269 |        0   |        0   |     220 |       0 |       0 |       0 |       0 |      51    |     0    |
       0  |     51 |      45 |     1308 |        0   |        0   |     225 |       0 |       0 |       0 |       0 |      52    |     0    |
       0  |     52 |      62 |     1368 |        0   |        0   |     226 |       0 |       0 |       0 |       0 |      53    |     0    |
       0  |     53 |      58 |     1422 |        0   |        0   |     229 |       0 |       0 |       0 |       0 |      54    |     0    |
       0  |     54 |      46 |     1464 |        0   |        0   |     232 |       0 |       0 |       0 |       0 |      55    |     0    |
       0  |     55 |      56 |     1518 |        0   |        0   |     233 |       0 |       0 |       0 |       0 |      56    |     0    |
       0  |     56 |      62 |     1578 |        0   |        0   |     234 |       0 |       0 |       0 |       0 |      57    |     0    |
       0  |     57 |      25 |     1593 |        0   |        0   |     243 |       0 |       0 |       0 |       0 |      58    |     0    |
       0  |     58 |       4 |     1596 |        0   |        0   |     243 |       0 |       0 |       0 |       0 |      59    |     0    |
       0  |     59 |      10 |     1602 |        0   |        0   |     246 |       0 |       0 |       0 |       0 |      60    |     0    |
       0  |     60 |      46 |     1644 |        0   |        0   |     249 |       0 |       0 |       0 |       0 |      61    |     0    |
       0  |     61 |      59 |     1701 |        0   |        0   |     250 |       0 |       0 |       0 |       0 |      62    |     0    |
       0  |     62 |      43 |     1734 |        0   |        0   |     259 |       0 |       0 |       0 |       0 |      63    |     0    |
       0  |     63 |      49 |     1779 |        0   |        0   |     262 |       0 |       0 |       0 |       0 |      64    |     0    |
       0  |     64 |      22 |     1797 |        0   |        0   |     265 |       0 |       0 |       0 |       0 |      65    |     0    |
       0  |     65 |      19 |     1812 |        0   |        0   |     268 |       0 |       0 |       0 |       0 |      66    |     0    |
       0  |     66 |      20 |     1824 |        0   |        0   |     275 |       0 |       0 |       0 |       0 |      67    |     0    |
       0  |     67 |      19 |     1839 |        0   |        0   |     278 |       0 |       0 |       0 |       0 |      68    |     0    |
       0  |     68 |      14 |     1851 |        0   |        0   |     279 |       0 |       0 |       0 |       0 |      69    |     0    |
       0  |     69 |      47 |     1896 |        0   |        0   |     280 |       0 |       0 |       0 |       0 |      70    |     0    |
       0  |     70 |      13 |     1905 |        0   |        0   |     283 |       0 |       0 |       0 |       0 |      71    |     0    |
       0  |     71 |      10 |     1911 |        0   |        0   |     286 |       0 |       0 |       0 |       0 |      72    |     0    |
       0  |     72 |      17 |     1920 |        0   |        0   |     293 |       0 |       0 |       0 |       0 |      73    |     0    |
       0  |     73 |      18 |     1932 |        0   |        0   |     298 |       0 |       0 |       0 |       0 |      74    |     0    |
       0  |     74 |      41 |     1965 |        0   |        0   |     305 |       0 |       0 |       0 |       0 |      75    |     0    |
       0  |     75 |      26 |     1983 |        0   |        0   |     312 |       0 |       0 |       0 |       0 |      76    |     0    |
       0  |     76 |      22 |     1995 |        0   |        0   |     321 |       0 |       0 |       0 |       0 |      77    |     0    |
       0  |     77 |       4 |     1998 |        0   |        0   |     321 |       0 |       0 |       0 |       0 |      78    |     0    |
       0  |     78 |       4 |     2001 |        0   |        0   |     321 |       0 |       0 |       0 |       0 |      79    |     0    |
       0  |     79 |      19 |     2010 |        0   |        0   |     330 |       0 |       0 |       0 |       0 |      80    |     0    |
       0  |     80 |      47 |     2055 |        0   |        0   |     331 |       0 |       0 |       0 |       0 |      81    |     0    |
       0  |     81 |      40 |     2091 |        0   |        0   |     334 |       0 |       0 |       0 |       0 |      82    |     0    |
       0  |     82 |      30 |     2115 |        0   |        0   |     339 |       0 |       0 |       0 |       0 |      83    |     0    |
       0  |     83 |      10 |     2121 |        0   |        0   |     342 |       0 |       0 |       0 |       0 |      84    |     0    |
       0  |     84 |      53 |     2166 |        0   |        0   |     349 |       0 |       0 |       0 |       0 |      85    |     0    |
       0  |     85 |      46 |     2208 |        0   |        0   |     352 |       0 |       0 |       0 |       0 |      86    |     0    |
       0  |     86 |      45 |     2247 |        0   |        0   |     357 |       0 |       0 |       0 |       0 |      87    |     0    |
       0  |     87 |      41 |     2280 |        0   |        0   |     364 |       0 |       0 |       0 |       0 |      88    |     0    |
       0  |     88 |      44 |     2322 |        0   |        0   |     365 |       0 |       0 |       0 |       0 |      89    |     0    |
       0  |     89 |      41 |     2361 |        0   |        0   |     366 |       0 |       0 |       0 |       0 |      90    |     0    |
       0  |     90 |      16 |     2373 |        0   |        0   |     369 |       0 |       0 |       0 |       0 |      91    |     0    |
       0  |     91 |      46 |     2409 |        0   |        0   |     378 |       0 |       0 |       0 |       0 |      92    |     0    |
       0  |     92 |      35 |     2436 |        0   |        0   |     385 |       0 |       0 |       0 |       0 |      93    |     0    |
       0  |     93 |      58 |     2490 |        0   |        0   |     388 |       0 |       0 |       0 |       0 |      94    |     0    |
       0  |     94 |      49 |     2535 |        0   |        0   |     391 |       0 |       0 |       0 |       0 |      95    |     0    |
       0  |     95 |      48 |     2577 |        0   |        0   |     396 |       0 |       0 |       0 |       0 |      96    |     0    |
       0  |     96 |      18 |     2589 |        0   |        0   |     401 |       0 |       0 |       0 |       0 |      97    |     0    |
       0  |     97 |       4 |     2592 |        0   |        0   |     401 |       0 |       0 |       0 |       0 |      98    |     0    |
       0  |     98 |      16 |     2604 |        0   |        0   |     404 |       0 |       0 |       0 |       0 |      99    |     0    |
       0  |     99 |      31 |     2631 |        0   |        0   |     407 |       0 |       0 |       0 |       0 |     100    |     0    |
       0  |    100 |      44 |     2667 |        0   |        0   |     414 |       0 |       0 |       0 |       0 |     101    |     0    |
       0  |    101 |      41 |     2706 |        0   |        0   |     415 |       0 |       0 |       0 |       0 |     102    |     0    |
       0  |    102 |      24 |     2718 |        0   |        0   |     426 |       0 |       0 |       0 |       0 |     103    |     0    |
       0  |    103 |      34 |     2748 |        0   |        0   |     429 |       0 |       0 |       0 |       0 |     104    |     0    |
       0  |    104 |      55 |     2799 |        0   |        0   |     432 |       0 |       0 |       0 |       0 |     105    |     0    |
       0  |    105 |      41 |     2832 |        0   |        0   |     439 |       0 |       0 |       0 |       0 |     106    |     0    |
       0  |    106 |      31 |     2859 |        0   |        0   |     442 |       0 |       0 |       0 |       0 |     107    |     0    |
       0  |    107 |      62 |     2919 |        0   |        0   |     443 |       0 |       0 |       0 |       0 |     108    |     0    |
       0  |    108 |      59 |     2976 |        0   |        0   |     444 |       0 |       0 |       0 |       0 |     109    |     0    |
       0  |    109 |      20 |     2988 |        0   |        0   |     451 |       0 |       0 |       0 |       0 |     110    |     0    |
       0  |    110 |      44 |     3030 |        0   |        0   |     452 |       0 |       0 |       0 |       0 |     111    |     0    |
       0  |    111 |      41 |     3069 |        0   |        0   |     453 |       0 |       0 |       0 |       0 |     112    |     0    |
       0  |    112 |      50 |     3117 |        0   |        0   |     454 |       0 |       0 |       0 |       0 |     113    |     0    |
       0  |    113 |      59 |     3174 |        0   |        0   |     455 |       0 |       0 |       0 |       0 |     114    |     0    |
       0  |    114 |      50 |     3222 |        0   |        0   |     456 |       0 |       0 |       0 |       0 |     115    |     0    |
       0  |    115 |      48 |     3264 |        0   |        0   |     461 |       0 |       0 |       0 |       0 |     116    |     0    |
       0  |    116 |      11 |     3273 |        0   |        0   |     462 |       0 |       0 |       0 |       0 |     117    |     0    |
       0  |    117 |      34 |     3297 |        0   |        0   |     471 |       0 |       0 |       0 |       0 |     118    |     0    |
       0  |    118 |      32 |     3327 |        0   |        0   |     472 |       0 |       0 |       0 |       0 |     119    |     0    |
